created_at,favorite_count,full_text,in_reply_to_screen_name,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
Tue Mar 26 14:23:09 +0000 2024,53,komunitas marah-marah || komunitas ramah-ramah https://t.co/9Y2p7cxp1K,,2,0,16,https://x.com/aientije/status/1772630373312180538,"1,73317E+18",aientije
Tue Mar 26 13:56:42 +0000 2024,0,Bikin komunitas marah khusus ayo ,,0,1,0,https://x.com/vanni304_/status/1772623718545564075,"1,08356E+18",vanni304_
Tue Mar 26 13:47:12 +0000 2024,0,gue ga sedih tp pas dapet chat gini jadi sedih ️️️ https://t.co/rp8Mi4KpTC,,0,0,0,https://x.com/anetnoth/status/1772621327276396868,"1,31007E+18",anetnoth
Tue Mar 26 13:22:54 +0000 2024,0,Hari-hari sudah berat malah gabung komunitas marah-marah,,0,0,0,https://x.com/oreoblooms/status/1772615211083600154,"1,01234E+18",oreoblooms
Tue Mar 26 13:07:34 +0000 2024,0,ges ada ga si komunitas buat sambat ngeluh gtt tp bkan yg marah marah ,,0,1,0,https://x.com/tanyakanrl/status/1772611353888321976,"1,33165E+18",tanyakanrl
Tue Mar 26 11:02:19 +0000 2024,1,[ motivasi hidup ] 1. xavier new myth soon. 2. cyno new story quest. 3. danheng comeback. 4. balik kampung halaman. 5. uang beasiswa cair soon. 6. komunitas marah-marah. bosan komplen pengen jadi debu / batu ke temen. jadi kita catet aja motivasi hidup biar ga jenuh ⭐️,,0,0,0,https://x.com/riizzely/status/1772579830648709324,"1,55835E+18",riizzely
Tue Mar 26 10:53:32 +0000 2024,0,@chrryprl_ post di komunitas marah marah banyak yg respon tau wkwk,chrryprl_,0,1,0,https://x.com/gowfuud/status/1772577620548317430,"1,04986E+18",gowfuud
Tue Mar 26 10:44:38 +0000 2024,0,@souffleegg Km komunitas marah marah,ataegnia,0,1,0,https://x.com/lightofhwasan/status/1772575379598811154,"1,75828E+18",lightofhwasan
Tue Mar 26 10:03:36 +0000 2024,0,komunitas marah-marah dan ramah-ramah tuh ap sih,,0,0,0,https://x.com/djunxtrash/status/1772565057286672393,838880346,djunxtrash
Tue Mar 26 09:54:28 +0000 2024,0,Selamat adiq adiq yang udah keterima SNBP Menunggu drama ospek di komunitas marah marah,,0,0,0,https://x.com/dewwsuyk/status/1772562758137188809,"1,21918E+18",dewwsuyk
Tue Mar 26 09:54:26 +0000 2024,0,@muriiechy Komunitas marah besar,muriiechy,0,0,0,https://x.com/buddydott/status/1772562746564866071,"1,61824E+18",buddydott
Tue Mar 26 09:40:29 +0000 2024,0,@drawansickppl @FadeHubb siap siap masuk komunitas marah marah AHAHAHA,drawansickppl,0,0,0,https://x.com/enormoushousee/status/1772559238700962057,"1,64799E+18",enormoushousee
